variable,count,mean,std,min,25%,50%,75%,max
campaign_item_id,43567.0,3130.1770835724287,142.34334025902305,2733.0,3148.0,3173.0,3202.0,3960.0
no_of_days,43567.0,27.124956962838844,25.58090993474303,0.0,9.0,19.0,37.0,118.0
ext_service_id,43567.0,49.24470356003397,55.808890752261036,4.0,4.0,16.0,128.0,128.0
creative_id,43567.0,7449.94628962288,4066.2860876456184,1000.0,3712.5,7885.0,10997.5,15605.0
creative_width,41506.0,267.77815255625694,92.88979850551581,0.0,300.0,300.0,300.0,300.0
creative_height,41506.0,223.14846046354745,77.40816542126316,0.0,250.0,250.0,250.0,250.0
template_id,41506.0,83.07495301884065,20.856816970637933,23.0,90.0,90.0,90.0,93.0
advertiser_id,43567.0,6194.836412881309,388.3623961685872,4756.0,6319.0,6385.0,6394.0,6490.0
network_id,43567.0,345.27663139532217,23.67673248114859,188.0,353.0,353.0,353.0,353.0
approved_budget,43307.0,126225.80868797193,561621.7379373275,400.0,6000.0,10000.0,15000.0,6000000.0
channel_id,43567.0,21.83788188307664,23.743252633663122,1.0,4.0,8.0,32.0,64.0
max_bid_cpm,4462.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
network_margin,43567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campaign_budget_usd,43567.0,615.6998842903116,1355.0300246763568,2.452316,205.99455,379.564033,755.313351,39559.896155
impressions,43567.0,1362.9038721968461,3779.5278206921507,511.0,526.0,577.0,818.0,153959.0
clicks,43567.0,52.09867560309409,398.4613394424725,2.0,5.0,8.0,13.0,31807.0
exchange_rate,43567.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
media_cost_usd,43567.0,11.737794951040927,48.59412729897029,0.0,0.4350805,1.716658,8.336886499999999,1736.847024
position_in_content,0.0,,,,,,,
unique_reach,0.0,,,,,,,
total_reach,0.0,,,,,,,
